,id,cox,molecularFormula,Zodiac_Score
95,22163_1907_EMPv2_SIRIUS_52797,-1.25,C32H62N2O8,0.9904522613065329
96,49302_1907_EMPv2_SIRIUS_37170,-1.4,C20H41NO4S,1.0
97,19262_1907_EMPv2_SIRIUS_38515,-0.15384615384615385,C13H27N5O5,0.9989949748743716
98,36279_1907_EMPv2_SIRIUS_40056,-0.08,C25H41N7O9,0.03467336683417085
99,12384_1907_EMPv2_SIRIUS_48370,0.0,C23H40N8O8,0.016080402010050253
100,37066_1907_EMPv2_SIRIUS_51045,-0.21428571428571427,C28H50N8O10,0.8673366834170854
101,29376_1907_EMPv2_SIRIUS_15082,0.875,C16H20N6O8,0.01457286432160804
102,49101_1907_EMPv2_SIRIUS_26915,-0.375,C16H32N4O6S,0.02613065326633166
103,8464_1907_EMPv2_SIRIUS_4039,-1.0,C32H58N6O4,1.0
104,4257_1907_EMPv2_SIRIUS_39238,-0.21428571428571427,C28H37N6O9P,0.02663316582914573
105,10425_1907_EMPv2_SIRIUS_23644,-1.2857142857142858,C42H68O7,0.029648241206030157
106,14105_1907_EMPv2_SIRIUS_17056,-0.64,C25H44N7O6P,0.0185929648241206
107,40499_1907_EMPv2_SIRIUS_23407,-1.2857142857142858,C42H68O7,0.07939698492462313
108,29240_1907_EMPv2_SIRIUS_33558,-1.7272727272727273,C22H48NO6P,1.0
109,40132_1907_EMPv2_SIRIUS_51383,0.12903225806451613,C31H36N10O5,0.08693467336683418
110,2778_1907_EMPv2_SIRIUS_52152,0.20689655172413793,C29H32N10O4,0.0628140703517588
111,51097_1907_EMPv2_SIRIUS_22073,-1.2857142857142858,C42H68O7,0.6381909547738693
112,9349_1907_EMPv2_SIRIUS_23290,-1.2857142857142858,C42H68O7,0.11457286432160806
113,11675_1907_EMPv2_SIRIUS_4754,-1.44,C25H49O9P,1.0
114,348_1907_EMPv2_SIRIUS_34949,-0.6666666666666666,C27H53N7O7,0.06281407035175879
115,7221_1907_EMPv2_SIRIUS_19000,-0.36363636363636365,C22H43N5O10,0.049246231155778905
116,3863_1907_EMPv2_SIRIUS_45525,-0.9230769230769231,C26H50N4O7,0.9979899497487436
117,12886_1907_EMPv2_SIRIUS_52145,-1.3333333333333333,C27H56O10,0.999497487437186
118,29037_1907_EMPv2_SIRIUS_50679,-0.48,C25H46N6O8,0.992462311557789
119,11501_1907_EMPv2_SIRIUS_46441,-0.967741935483871,C31H56N6O4,0.6899497487437186
120,50617_1907_EMPv2_SIRIUS_37682,1.5,C12H14N6O6S,0.1969849246231156
121,17373_1907_EMPv2_SIRIUS_14948,0.09523809523809523,C21H43N11O6,0.08542713567839197
122,25099_1907_EMPv2_SIRIUS_44120,-1.4545454545454546,C22H44NO7P,1.0
123,43217_1907_EMPv2_SIRIUS_56732,0.8888888888888888,C18H22N8O7,0.048241206030150766
124,1226_1907_EMPv2_SIRIUS_15889,-1.4074074074074074,C27H54NO9P,0.9989949748743718
125,43428_1907_EMPv2_SIRIUS_31786,-1.2307692307692308,C26H50NO10P,0.9924623115577887
126,45442_1907_EMPv2_SIRIUS_47041,-1.0,C32H58N6O4,0.9979899497487436
127,27806_1907_EMPv2_SIRIUS_42101,-0.6666666666666666,C15H26N3O6P,0.02311557788944724
128,47875_1907_EMPv2_SIRIUS_39929,-0.5714285714285714,C35H56N8O6,0.1100502512562814
129,23974_1907_EMPv2_SIRIUS_26672,-0.06896551724137931,C29H39N5O11,0.5537688442211055
130,18747_1907_EMPv2_SIRIUS_21984,-1.1627906976744187,C43H68O9,0.6532663316582914
131,5238_1907_EMPv2_SIRIUS_11174,-1.0,C32H58N6O4,0.929145728643216
132,47283_1907_EMPv2_SIRIUS_54209,-0.25,C24H42N8O6,0.09648241206030153
133,43615_1907_EMPv2_SIRIUS_40543,-1.2307692307692308,C26H48NO9P,1.0
134,2997_1907_EMPv2_SIRIUS_40459,-1.04,C25H49N3O7,0.05577889447236181
135,23099_1907_EMPv2_SIRIUS_47401,-1.0,C32H58N6O4,0.977386934673367
136,51695_1907_EMPv2_SIRIUS_3257,-1.0,C32H58N6O4,0.8974874371859296
137,8585_1907_EMPv2_SIRIUS_45876,1.3846153846153846,C13H11N5O4S3,0.7331658291457287
